,x,y,z
0,-6.0,-6.0,0.0
1,-6.4080095,-6.6077447,-0.027797196
2,-6.5214343,-5.855001,0.01069127
3,-5.9641542,-5.7481256,0.11628695
4,-6.413156,-5.313679,0.0508909
5,-5.9641542,-5.7481256,0.11628695
6,-6.413156,-5.313679,0.0508909
7,-6.892039,-5.429197,0.0052352664
8,-5.9641542,-5.7481256,0.11628695
9,-6.892039,-5.429197,0.0052352664
10,-6.852885,-5.50712,0.06495905
11,-6.852885,-5.50712,0.06495905
12,-6.9659076,-4.6866684,0.10224127
13,-7.2242217,-4.6461005,0.04324229
14,-7.2014956,-4.4873676,0.05884251
15,-7.5340586,-4.1252084,0.07201149
16,-7.2794275,-3.9782052,0.046853185
17,-7.5340586,-4.1252084,0.07201149
18,-7.858377,-4.297279,-0.012601539
19,-7.633818,-3.7849357,0.035742167
20,-7.4395137,-3.1851811,-0.07133173
21,-7.606609,-2.9472218,0.06633086
22,-7.594092,-2.931838,0.08289208
23,-6.9336786,-3.0535524,-0.028791973
24,-7.858377,-4.297279,-0.012601539
25,-7.858377,-4.297279,-0.012601539
26,-8.094612,-4.291776,0.048192568
27,-8.094612,-4.291776,0.048192568
28,-7.9746246,-3.9904027,-0.010051844
29,-8.094612,-4.291776,0.048192568
30,-6.9336786,-3.0535524,-0.028791973
31,-7.594092,-2.931838,0.08289208
32,-6.403648,-2.5616157,-0.030827725
33,-4.6608863,-0.31853756,-0.060497027
34,-7.4450088,-0.4787793,0.038598966
35,-4.6608863,-0.31853756,-0.060497027
36,-4.0121584,-0.56101304,-0.054109234
37,-3.8658013,-0.014236699,-0.031315804
38,-2.9987314,-1.7281189,-0.08398439
39,-1.4623972,-2.0606112,0.031175185
40,-1.4623972,-2.0606112,0.031175185
41,-1.3560832,-2.3236725,0.03129184
42,-1.3197242,-2.1916661,-0.014725573
43,-2.176038,-0.875418,-0.054238405
44,-7.4450088,-0.4787793,0.038598966
45,-7.514116,-0.004248465,-0.004387531
46,-7.5455203,-0.8431145,-0.014551982
47,-6.403648,-2.5616157,-0.030827725
48,-7.3925295,-1.2475132,-0.027480504
49,-2.8283603,-0.56665486,-0.021371102
50,-4.646965,-3.4675813,0.007931028
51,-4.617948,-4.012073,-0.002068618
52,-2.176038,-0.875418,-0.054238405
53,-2.6675823,-3.6868672,0.048149683
54,-4.5006804,-4.20088,0.004523478
55,-4.4285755,-4.275803,0.021757578
56,-4.399608,-4.5312166,0.033509858
57,-1.3560832,-2.3236725,0.03129184
58,-4.399608,-4.5312166,0.033509858
59,-7.3925295,-1.2475132,-0.027480504
60,-7.38864,-1.3118099,0.06895921
61,-7.626237,-1.4637423,0.06435331
62,-4.399608,-4.5312166,0.033509858
63,-4.3738303,-4.82818,0.06315949
64,-2.8778474,-0.1791864,-0.033834662
65,-7.626237,-1.4637423,0.06435331
66,-4.3738303,-4.82818,0.06315949
67,-4.3524337,-4.9032874,0.015922658
68,-4.309578,-4.934533,0.004896092
69,-4.3413534,-4.93472,0.02282225
70,-4.5283027,-5.279441,0.004083021
71,-4.2581954,-5.392517,0.004887103
72,-4.963085,-5.090322,0.005504276
73,-4.2581954,-5.392517,0.004887103
74,-4.963085,-5.090322,0.005504276
75,-4.8157587,-3.822293,-0.006713418
76,-2.7085307,-0.023672493,-0.016832145
77,-4.2581954,-5.392517,0.004887103
78,-7.626237,-1.4637423,0.06435331
79,-4.9030538,-5.076425,-0.012952553
80,-4.825823,-5.089433,-0.08636993
81,-4.901254,-4.9124274,0.08100821
82,-4.5283027,-5.279441,0.004083021
83,-7.559541,-1.6548223,0.0090817055
84,-2.7721674,0.26286274,-0.022148019
85,-1.8747135,2.4154208,0.053649455
86,-1.5180696,1.765728,-0.001444036
87,-2.7721674,0.26286274,-0.022148019
88,-1.8046694,1.1388735,0.022054875
89,-2.387166,0.7469542,0.0039089355
90,-2.3668168,0.9022214,0.01613105
91,-2.387166,0.7469542,0.0039089355
92,-2.2472732,0.71692675,0.013177208
93,-2.2171953,0.72502655,-0.027640972
94,-2.4181528,0.8711734,0.004276546
95,-2.5247326,0.9211521,-0.03994463
96,-2.2780988,1.0718672,-0.0032266912
97,-2.387166,0.7469542,0.0039089355
98,-2.3416626,0.9088898,0.0217078
99,-3.3371727,1.5079938,0.00636108
100,-3.517883,1.4671872,0.07956356
101,-3.517883,1.4671872,0.07956356
102,-3.598163,1.3160732,-0.04610214
103,-3.598163,1.3160732,-0.04610214
104,-2.2472732,0.71692675,0.013177208
105,-3.6236446,1.3295679,0.00027784306
106,-3.975324,1.6088457,-0.09027895
107,-3.975324,1.6088457,-0.09027895
108,-3.975324,1.6088457,-0.09027895
109,-3.7192273,1.554336,0.016080713
110,-4.2947497,1.8331169,-0.019023843
111,-4.206508,1.9427757,0.045358308
112,-4.3501453,1.8771547,0.005845013
113,-3.598163,1.3160732,-0.04610214
114,-3.113543,1.0265224,-0.045679063
115,-3.477348,1.4433411,0.0029612517
116,-4.1365576,1.6721668,-0.03321529
117,-4.3820977,1.8753436,-0.053572636
118,-3.113543,1.0265224,-0.045679063
119,-3.0501678,1.0247397,-0.005095977
120,-2.8952312,0.98173517,-0.06634436
121,-3.52249,1.0053095,0.027070045
122,-3.0044265,1.023878,-0.04922229
123,-3.3100889,1.2476134,-0.0067652664
124,-3.3100889,1.2476134,-0.0067652664
125,-3.2500386,1.2713307,-0.010183511
126,-3.0810344,1.1548098,0.017786663
127,-4.3501453,1.8771547,0.005845013
128,-4.9347796,2.202377,0.021668617
129,-5.2043552,2.6549423,0.041649755
130,-5.170011,2.5189102,-0.035396155
131,-5.1669536,2.7357552,-0.04634039
132,-5.2696238,2.789377,0.02008944
133,-4.129087,1.733291,0.03504994
134,-4.0948653,1.6749775,0.015075967
135,-4.1042576,2.994462,-0.0040107174
136,-3.0501678,1.0247397,-0.005095977
137,-3.0534434,0.97624886,-0.060151782
138,-1.8952454,0.12849139,-0.033959523
139,-1.8154728,0.116666235,0.030018449
140,-1.3798124,-0.41985103,-0.040623825
141,-1.2189797,-0.614341,-0.017819984
142,-1.2548041,-0.59047693,-0.051579084
143,-1.4274573,-0.697777,-0.023326308
144,-1.5166534,-0.6952031,-0.010086105
145,-1.4274573,-0.697777,-0.023326308
146,-1.5135549,-0.45072433,0.02493474
147,-1.495654,-0.3951092,0.014341016
148,-1.6003224,-0.41462824,0.0223656
149,-1.4274573,-0.697777,-0.023326308
150,-1.3295231,-0.7244713,0.049595695
151,-1.3729094,-0.75258267,-0.019757949
152,-1.495654,-0.3951092,0.014341016
153,-1.4274573,-0.697777,-0.023326308
154,-1.3295231,-0.7244713,0.049595695
155,-1.4839364,-0.57532793,0.024711205
156,-1.135166,-0.91591215,0.02696514
157,-1.1383408,-0.9724078,0.018302394
158,-1.3024697,-0.89279985,0.037173074
159,-1.1514955,-0.9374291,-0.066600844
160,-1.2101871,-1.0079197,0.03226406
161,-1.2273613,-0.8708397,-0.0345927
162,-1.2101871,-1.0079197,0.03226406
163,-1.4274573,-0.697777,-0.023326308
164,-1.0763516,-1.1299225,-0.04865953
165,-1.6053232,-0.48404747,0.013962804
166,-1.0763516,-1.1299225,-0.04865953
167,-1.0405544,-1.1392368,-0.034007493
168,-1.2273613,-0.8708397,-0.0345927
169,-1.1662322,-0.90589744,-0.0018914317
170,-1.4839364,-0.57532793,0.024711205
171,-1.2101871,-1.0079197,0.03226406
172,-1.1383408,-0.9724078,0.018302394
173,-1.2273613,-0.8708397,-0.0345927
174,-1.2384541,-0.86355287,0.0246874
175,-1.1539193,-0.94157267,-0.035745855
176,-1.135166,-0.91591215,0.02696514
177,-1.0763516,-1.1299225,-0.04865953
178,-1.2273613,-0.8708397,-0.0345927
179,-1.6180629,-0.43336636,-0.016245058
180,-0.9314435,-1.0871085,0.07267391
181,-1.49515,-0.64603937,0.022685794
182,-1.1048156,-1.0248746,-0.06678331
183,-1.0849131,-1.0173702,-0.026967779
184,-1.1089692,-0.9922088,-0.006535077
185,-1.0075026,-1.0413693,-0.0609998
186,-1.2358811,-0.92241776,0.028912073
187,-1.2384541,-0.86355287,0.0246874
188,-1.2643229,-0.9863307,0.009728567
189,-1.1091884,-1.0373755,0.011648228
190,-1.2643229,-0.9863307,0.009728567
191,-1.3367685,-0.83364147,-0.050203007
192,-1.2903737,-0.9960188,-0.042399004
193,-1.1820519,-1.0486879,0.022637313
194,-0.9621218,-1.4043375,0.017867284
195,-0.92070496,-1.3669596,-0.029160732
196,-0.6698313,-1.4495187,-0.006887442
197,-0.6698313,-1.4495187,-0.006887442
198,-0.7476637,-1.4707922,-0.0021453737
199,-0.51153487,-1.649568,-0.031052357
200,-0.5323054,-1.7247905,0.06361722
