,x,y,z
0,-6.0,-6.0,0.0
1,-6.847446,-6.7978716,-0.0061827307
2,-6.73358,-5.951107,0.028984684
3,-6.8110404,-6.084995,-0.014945731
4,-7.4453173,-6.300583,-0.04691842
5,-7.60105,-5.700738,0.050469905
6,-7.802962,-5.234373,-0.04824021
7,-7.666042,-4.5999923,-0.012642487
8,-7.666042,-4.5999923,-0.012642487
9,-7.6142983,-4.4791617,-0.02759848
10,-7.605119,-4.436151,-0.059519198
11,-7.8792086,-4.364345,0.049289014
12,-7.8792086,-4.364345,0.049289014
13,-7.802962,-5.234373,-0.04824021
14,-7.1786385,-4.317696,0.02375265
15,-7.59654,-3.9881618,0.027453566
16,-5.6818347,-1.1908479,0.04025956
17,-4.054916,-0.13763404,0.03454082
18,-7.59654,-3.9881618,0.027453566
19,-7.6006722,-3.3911724,-0.015407461
20,-3.475819,-1.1510628,-0.011540341
21,-1.8449477,-2.1282423,0.028106019
22,-1.5962379,-2.1243625,-0.055737108
23,-1.918373,-1.3237256,0.061222997
24,-2.2146935,-1.2279071,-0.029342297
25,-2.1764967,-1.0741953,0.03700573
26,-2.0772054,-1.1335223,-0.004769031
27,-3.5298867,-2.595513,-0.018586485
28,-2.1764967,-1.0741953,0.03700573
29,-4.054916,-0.13763404,0.03454082
30,-3.6582096,0.26461887,-0.035757933
31,-2.34106,-0.9490086,0.093434155
32,-4.3996234,-2.6204293,-0.02748828
33,-4.4041257,-2.5859916,0.0022974925
34,-2.34106,-0.9490086,0.093434155
35,-4.8385315,-3.4397702,-0.05914983
36,-3.6582096,0.26461887,-0.035757933
37,-3.1215189,5.2775702,0.007667225
38,-4.8434253,4.1831517,0.020418411
39,-4.8385315,-3.4397702,-0.05914983
40,-3.1215189,5.2775702,0.007667225
41,-4.4041257,-2.5859916,0.0022974925
42,-5.5247226,4.515587,-0.0066375765
43,-5.957812,4.7178907,0.04093192
44,-2.2095733,-0.90275997,0.07389294
45,-5.957812,4.7178907,0.04093192
46,-4.8549404,-3.795099,-0.044546384
47,-5.485151,4.8346176,0.08370172
48,-6.2453074,-1.2093111,-0.014404482
49,-4.8651967,-3.8617408,-0.091725335
50,-3.6582096,0.26461887,-0.035757933
51,-7.0412097,1.1048917,0.031216994
52,-4.8651967,-3.8617408,-0.091725335
53,-4.369234,-4.5649996,0.07348286
54,-4.8385315,-3.4397702,-0.05914983
55,-4.369234,-4.5649996,0.07348286
56,-4.7913203,-4.4824243,0.036513265
57,-7.756663,1.9421257,0.034760207
58,-7.7877707,1.9212363,-0.003741964
59,-4.7913203,-4.4824243,0.036513265
60,-5.520058,-3.3327167,-0.051364023
61,-4.8651967,-3.8617408,-0.091725335
62,-5.520058,-3.3327167,-0.051364023
63,-4.8393974,-3.9211388,-0.08424608
64,-4.7913203,-4.4824243,0.036513265
65,-4.3594856,-4.7391624,0.05775472
66,-4.7913203,-4.4824243,0.036513265
67,-6.7887115,-1.0457547,0.069099635
68,-6.4905086,-0.13886686,-0.004256915
69,-4.7913203,-4.4824243,0.036513265
70,-4.851232,-4.517137,-0.016539654
71,-4.851232,-4.517137,-0.016539654
72,-5.1360545,-4.1795106,0.050424185
73,-5.2606797,-4.1446548,-0.029358435
74,-5.039789,-3.724878,-0.0059785857
75,-5.2606797,-4.1446548,-0.029358435
76,-4.8948855,-4.514623,0.032198906
77,-7.1091876,1.4870846,0.042196777
78,-5.2606797,-4.1446548,-0.029358435
79,-4.452335,-4.348568,-0.041073542
80,-5.520058,-3.3327167,-0.051364023
81,-4.9008174,-4.537164,0.06220883
82,-7.267849,1.3905351,0.0069435723
83,-6.5287566,1.9097239,-0.010184832
84,-5.2606797,-4.1446548,-0.029358435
85,-7.6382213,2.6770694,-0.007744887
86,-5.5439982,-3.2680643,-0.0066736587
87,-5.1360545,-4.1795106,0.050424185
88,-4.9008174,-4.537164,0.06220883
89,-4.9008174,-4.537164,0.06220883
90,-4.603142,-4.3385715,-0.018853744
91,-5.11564,-3.9855983,-0.033397764
92,-4.9008174,-4.537164,0.06220883
93,-4.8577504,-5.1498523,-0.013411747
94,-4.7105613,-5.0938354,-0.00684421
95,-5.11564,-3.9855983,-0.033397764
96,-4.6979218,-5.064341,0.070165984
97,-4.6979218,-5.064341,0.070165984
98,-4.541358,-5.2319446,0.08881829
99,-4.8771944,-4.4609437,0.0590188
100,-4.3364406,-4.886797,0.0040561254
101,-4.8577504,-5.1498523,-0.013411747
102,-4.3364406,-4.886797,0.0040561254
103,-5.1216636,-2.279907,0.04014857
104,-4.2907314,-5.3871975,0.028967697
105,-7.548407,0.5610401,0.087266944
106,-4.8577504,-5.1498523,-0.013411747
107,-7.8161416,0.7411205,0.011783792
108,-4.2907314,-5.3871975,0.028967697
109,-7.275155,-0.7665783,-0.03389914
110,-7.8161416,0.7411205,0.011783792
111,-5.0968943,-2.2703228,0.03389167
112,-8.031643,-2.733928,0.024186432
113,-8.023017,-2.6456385,0.04315029
114,-6.0555243,-2.369974,-0.11495972
115,-4.2907314,-5.3871975,0.028967697
116,-4.541358,-5.2319446,0.08881829
117,-8.023017,-2.6456385,0.04315029
118,-8.049206,-2.8381584,0.018219883
119,-4.6407003,-5.2024508,-0.019240694
120,-4.903714,-5.206016,0.017524237
121,-4.7196355,-4.2876143,0.00045220004
122,-8.023017,-2.6456385,0.04315029
123,-7.9756327,-2.541691,-0.034513034
124,-4.675805,-4.6999135,0.01480362
125,-4.903714,-5.206016,0.017524237
126,-4.774666,-4.675526,0.012703541
127,-4.6407003,-5.2024508,-0.019240694
128,-4.5212936,-5.216769,0.02973559
129,-6.0555243,-2.369974,-0.11495972
130,-4.379398,-1.2310244,-0.008097048
131,-3.8419857,-5.308618,-0.046417847
132,-4.379398,-1.2310244,-0.008097048
133,-7.9756327,-2.541691,-0.034513034
134,-3.8419857,-5.308618,-0.046417847
