,x,y,z
0,-6.0,-6.0,0.0
1,-5.7326636,-6.8086047,0.030784626
2,-6.82349,-6.278331,0.089312665
3,-7.2650795,-5.8600545,0.07163352
4,-6.4322906,-6.9586115,-0.1028656
5,-5.7362785,-7.0354524,0.018494664
6,-5.324634,-6.141257,-0.06971689
7,-7.2650795,-5.8600545,0.07163352
8,-6.479366,-4.6252136,0.011852565
9,-6.6629534,-3.987328,-0.0033989255
10,-7.0435443,-3.8331838,0.026605058
11,-6.8565574,-4.4221277,0.06285001
12,-7.0435443,-3.8331838,0.026605058
13,-7.4572763,-3.5214639,0.0010450444
14,-7.8094873,-4.397609,0.04760686
15,-7.7886643,-4.203212,-0.0149119515
16,-7.839275,-4.917515,-0.043173697
17,-7.8929567,-4.8852863,0.019923873
18,-7.4572763,-3.5214639,0.0010450444
19,-7.809747,-3.6448479,0.13182409
20,-7.580156,-3.0759616,0.053076137
21,-7.809747,-3.6448479,0.13182409
22,-7.6085863,-3.0055752,-0.017224578
23,-8.20119,-3.0283809,0.029034888
24,-7.2384334,-0.81731445,0.03358404
25,-4.8470244,-1.6934569,0.009645785
26,-8.20119,-3.0283809,0.029034888
27,-3.7816274,-1.4858909,0.047019564
28,-3.416066,-2.489217,-0.04584899
29,-3.5779614,-2.2875905,-0.06285437
30,-7.2384334,-0.81731445,0.03358404
31,-6.504299,0.38913712,-0.007997426
32,-4.8470244,-1.6934569,0.009645785
33,-4.107829,-4.0509543,-0.027565842
34,-3.5801818,-3.0550053,0.000535403
35,-7.8826675,0.47527185,0.036189765
36,-7.8826675,0.47527185,0.036189765
37,-4.107829,-4.0509543,-0.027565842
38,-8.20119,-3.0283809,0.029034888
39,-7.2384334,-0.81731445,0.03358404
40,-7.8826675,0.47527185,0.036189765
41,-5.5121417,1.3419567,-0.027230848
42,-5.132551,1.3374821,0.05769043
43,-4.8173575,1.9815186,0.010869903
44,-3.3736088,-3.1003137,-0.03465834
45,-5.2456074,-3.6228657,-0.051367033
46,-5.2456074,-3.6228657,-0.051367033
47,-5.330215,-1.9839413,0.045361314
48,-3.9132564,-1.3899401,-0.0030242817
49,-5.2456074,-3.6228657,-0.051367033
50,-5.2781925,-3.6503239,-0.029148731
51,-5.435952,-3.7219486,0.021674128
52,-5.013246,-4.166317,0.081979714
53,-4.987472,-4.4217906,0.035212174
54,-4.2463164,-4.6269317,-0.02972852
55,-5.435952,-3.7219486,0.021674128
56,-5.435952,-3.7219486,0.021674128
57,-7.8976836,-2.904437,0.056335848
58,-5.435952,-3.7219486,0.021674128
59,-4.987472,-4.4217906,0.035212174
60,-5.4607487,-3.6529748,0.04598408
61,-7.796673,-2.570794,-0.003229235
62,-4.931334,-4.648079,0.017629176
63,-4.7918944,-4.8185725,0.013639455
64,-7.8047013,-2.1172574,-0.04550506
65,-6.8449326,-0.6642632,-0.014937463
66,-7.796673,-2.570794,-0.003229235
67,-7.8047013,-2.1172574,-0.04550506
68,-5.549259,-3.624857,0.013821754
69,-4.7918944,-4.8185725,0.013639455
70,-4.8994665,-4.8171954,0.028784368
71,-5.549259,-3.624857,0.013821754
72,-5.355911,-3.9644554,-0.0058433483
73,-5.549259,-3.624857,0.013821754
74,-5.748361,-3.5694225,-0.01611454
75,-4.904769,-4.8953257,-0.023556193
76,-5.6709657,-3.7175915,-0.026511936
77,-7.848513,-2.084765,-0.028254762
78,-5.6709657,-3.7175915,-0.026511936
79,-5.551451,-3.689795,-0.04427525
80,-5.6709657,-3.7175915,-0.026511936
81,-7.8270946,-2.1354177,0.016912825
82,-4.904769,-4.8953257,-0.023556193
83,-5.6709657,-3.7175915,-0.026511936
84,-5.739091,-3.9026062,0.006339048
85,-5.7403226,-4.6009083,-0.044942126
86,-7.949147,-2.6080203,-0.03772254
87,-8.001357,-2.5169907,-0.08838657
88,-7.848513,-2.084765,-0.028254762
89,-5.5508213,-3.6126268,0.00017254565
90,-5.1167574,-5.0362906,0.048234813
91,-4.9775214,-5.1466327,0.07195603
92,-5.0047107,-5.7758474,-0.019805338
93,-7.921285,-2.146395,-0.025625378
94,-6.264243,-2.8745987,0.022575142
95,-8.001357,-2.5169907,-0.08838657
96,-5.739091,-3.9026062,0.006339048
97,-5.1167574,-5.0362906,0.048234813
98,-6.4134135,-3.3254,0.058305293
99,-4.5580764,-1.940629,0.055606592
100,-4.9775214,-5.1466327,0.07195603
101,-5.0047107,-5.7758474,-0.019805338
102,-4.727209,-5.931995,-0.028073788
103,-4.4453883,-0.5396555,-0.013527199
104,-4.9005256,-5.05203,0.030789388
105,-4.9005256,-5.05203,0.030789388
106,-4.727209,-5.931995,-0.028073788
107,-8.001357,-2.5169907,-0.08838657
108,-6.6439934,-3.6490028,0.044734903
109,-3.8443043,-1.0885246,-0.10600761
110,-2.7753208,-0.02415605,0.014042037
111,-6.6439934,-3.6490028,0.044734903
112,-2.7753208,-0.02415605,0.014042037
113,-6.264243,-2.8745987,0.022575142
114,-2.2758331,-0.7231189,0.019484451
115,-5.3557177,-5.1606135,-0.038820777
116,-5.1667423,-4.1145053,-0.058098238
117,-4.9005256,-5.05203,0.030789388
118,-4.4453883,-0.5396555,-0.013527199
119,-6.164606,-3.8538072,0.030769885
120,-4.66076,-0.59756714,-0.009098291
121,-4.057962,-0.13969274,-0.02442315
122,-4.9503727,-4.518781,-0.028296417
123,-4.057962,-0.13969274,-0.02442315
124,-5.5588884,-4.20392,0.008656716
125,-5.5413065,-4.2405257,0.06596348
126,-6.164606,-3.8538072,0.030769885
127,-2.4889886,-4.1802998,-0.058213778
128,-2.7753208,-0.02415605,0.014042037
129,-2.2823622,-2.4527843,0.011117353
130,-3.7656224,0.44249034,0.069005035
131,-3.4020836,0.23817502,0.03399588
132,-4.129246,-0.029590553,-0.039851364
133,-4.3620906,0.5319129,-0.0046829577
134,-4.9503727,-4.518781,-0.028296417
135,-2.4889886,-4.1802998,-0.058213778
136,-6.337856,-4.1992164,-0.00387883
137,-6.2756896,-4.278126,0.021613222
138,-6.059306,-4.456365,-0.013450788
139,-3.6005986,0.48604098,-0.05192429
140,-4.9285803,-4.621089,0.005946492
141,-5.816396,-4.604502,-0.046289794
142,-5.64108,-5.0030723,0.01096139
143,-5.4169817,-5.4792137,0.033697285
144,-2.5082211,-4.145639,-0.058990914
145,-6.059306,-4.456365,-0.013450788
146,-5.71735,-4.797537,-0.06820208
147,-6.337856,-4.1992164,-0.00387883
148,-3.6005986,0.48604098,-0.05192429
149,-4.9285803,-4.621089,0.005946492
150,-4.9285803,-4.621089,0.005946492
151,-5.279596,-4.9204106,-0.022506615
152,-5.116845,-4.8533907,-0.009607409
153,-5.816396,-4.604502,-0.046289794
154,-4.9285803,-4.621089,0.005946492
155,-2.428633,-4.15421,0.07168171
156,-4.916327,-4.6982355,0.0037801736
157,-5.816396,-4.604502,-0.046289794
158,-2.428633,-4.15421,0.07168171
159,-4.3350697,-4.514,-0.009164121
160,-4.916327,-4.6982355,0.0037801736
161,-5.394771,-4.6095443,-0.028294047
162,-2.428633,-4.15421,0.07168171
163,-5.71735,-4.797537,-0.06820208
164,-5.6350265,-5.105857,0.04125898
165,-5.819194,-5.2515697,0.0172831
166,-6.455951,-4.0119286,-0.018818494
167,-5.394771,-4.6095443,-0.028294047
168,-5.4348903,-5.166711,0.117582195
169,-5.2808146,-2.6420343,-0.04301079
170,-5.708106,-5.1353054,0.017064897
171,-5.116845,-4.8533907,-0.009607409
172,-4.8996253,-5.137181,0.035334926
173,-6.292825,-3.4777887,-0.026107287
174,-4.8447547,-4.8847976,-0.05389427
175,-4.977393,-4.7394996,-0.004661395
176,-4.8996253,-5.137181,0.035334926
177,-4.977393,-4.7394996,-0.004661395
178,-6.292825,-3.4777887,-0.026107287
179,-5.4348903,-5.166711,0.117582195
180,-5.7245574,-5.3424754,0.042040747
181,-4.8447547,-4.8847976,-0.05389427
182,-5.393459,-5.158586,0.04716177
183,-2.269615,-3.7168496,-0.0019104518
184,-4.9767904,-5.3811016,-0.01865494
185,-6.292825,-3.4777887,-0.026107287
186,-6.256883,-3.0652378,0.049523633
187,-5.7583766,-3.3523126,0.0238157
188,-5.09316,-4.65577,-0.035519328
189,-4.9997506,-4.8935695,0.009675429
190,-5.3200746,-4.4544196,0.003908103
191,-5.996748,-3.9718997,-0.017431483
192,-4.8996253,-5.137181,0.035334926
