,x,y,z
0,-6.0,-6.0,0.0
1,-6.017762,-6.1996884,-0.019912833
2,-5.787665,-6.4007735,0.02024601
3,-6.39379,-6.889099,-0.030482164
4,-6.053554,-5.3408313,-0.06438084
5,-6.053554,-5.3408313,-0.06438084
6,-7.225593,-5.8195596,0.11186024
7,-7.2158465,-5.8251243,0.1442688
8,-5.8929825,-6.1062346,0.1383163
9,-7.2158465,-5.8251243,0.1442688
10,-6.053554,-5.3408313,-0.06438084
11,-6.053554,-5.3408313,-0.06438084
12,-6.053554,-5.3408313,-0.06438084
13,-5.3961945,-6.2250147,-0.07128871
14,-5.3961945,-6.2250147,-0.07128871
15,-5.3961945,-6.2250147,-0.07128871
16,-5.57051,-5.486967,-0.02124047
17,-5.691867,-7.1099486,-0.028619
18,-5.360666,-6.3926725,-0.02801608
19,-4.86147,-5.5393133,-0.06500312
20,-4.407563,-5.9960012,0.015907785
21,-4.2992363,-5.8911724,0.00033299203
22,-4.082011,-5.898618,-0.09176659
23,-3.9853532,-5.6608906,0.0062170657
24,-3.4255967,-4.824918,-0.014940741
25,-4.8766365,-2.9828374,-0.04089243
26,-4.9656205,-2.9556918,0.013064317
27,-6.061003,-2.690402,-0.06301971
28,-3.4255967,-4.824918,-0.014940741
29,-3.2811875,-1.4013224,-0.028783534
30,-6.061003,-2.690402,-0.06301971
31,-6.6919684,0.2527289,-0.009424198
32,-2.0949664,-2.680953,-0.03927527
33,-3.230313,-3.228748,0.061077397
34,-3.408059,-3.1239364,0.028246924
35,-3.230313,-3.228748,0.061077397
36,-2.506099,-3.1992085,0.043045893
37,-5.2429233,-3.4332466,-0.0095576905
38,-3.6769009,-0.06884577,-0.00142427
39,-3.213456,-0.061020117,-0.073287405
40,-6.061003,-2.690402,-0.06301971
41,-2.0949664,-2.680953,-0.03927527
42,-3.6769009,-0.06884577,-0.00142427
43,-3.4255967,-4.824918,-0.014940741
44,-2.8295686,-0.34531298,-0.008146216
45,-2.6860049,-0.20775954,-0.028698582
46,-5.2429233,-3.4332466,-0.0095576905
47,-5.4512324,-3.4916933,-0.022989184
48,-5.2429233,-3.4332466,-0.0095576905
49,-5.4512324,-3.4916933,-0.022989184
50,-2.506099,-3.1992085,0.043045893
51,-3.9447613,-4.5114474,-0.023443699
52,-3.213456,-0.061020117,-0.073287405
53,-5.4512324,-3.4916933,-0.022989184
54,-3.8609135,0.1334703,-0.044306066
55,-5.4512324,-3.4916933,-0.022989184
56,-5.889703,-2.9816327,-0.07572626
57,-3.8609135,0.1334703,-0.044306066
58,-2.7902582,-1.095562,0.005161542
59,-3.2219656,-2.3591714,-0.04924467
60,-3.6703842,-3.059836,-0.055711847
61,-5.4512324,-3.4916933,-0.022989184
62,-5.889703,-2.9816327,-0.07572626
63,-3.2219656,-2.3591714,-0.04924467
64,-5.2725544,-3.4625638,0.01816654
65,-5.1152816,-3.580087,0.011913129
66,-5.1126537,-3.596937,0.07968417
67,-5.2614183,-3.6208253,0.03785366
68,-4.6660023,0.92750734,-0.009530452
69,-5.2614183,-3.6208253,0.03785366
70,-5.2614183,-3.6208253,0.03785366
71,-4.3790255,-4.4488797,-0.019649522
72,-3.2942123,-0.9230965,0.026834441
73,-4.3790255,-4.4488797,-0.019649522
74,-5.889703,-2.9816327,-0.07572626
75,-4.3790255,-4.4488797,-0.019649522
