,x,y,z
0,-6.0,-6.0,0.0
1,-6.1468296,-6.1597853,0.04587171
2,-5.747036,-6.8123817,-0.004792263
3,-5.7130294,-6.799431,0.0014375258
4,-5.5138288,-6.0421476,0.03624713
5,-6.9895334,-4.9705577,-0.015420655
6,-5.5138288,-6.0421476,0.03624713
7,-5.472215,-6.3106723,0.08636473
8,-5.4368668,-6.6035395,0.027146107
9,-5.278469,-6.5576577,0.006596809
10,-5.0027127,-6.6771197,0.0045541227
11,-4.9446273,-6.629677,-0.009714565
12,-4.9167747,-6.5342226,0.04521871
13,-7.291904,-5.6547756,-0.0560327
14,-4.7656283,-6.2039475,0.041636612
15,-4.726165,-6.3124824,0.08216547
16,-4.367834,-6.497112,0.037135344
17,-4.595116,-6.805974,-0.007042178
18,-4.486215,-6.8933578,-0.026871964
19,-5.1392546,-7.475082,0.051720858
20,-5.1392546,-7.475082,0.051720858
21,-4.8789725,-8.022122,0.0060634627
22,-5.220959,-7.790729,-0.008399996
23,-4.8789725,-8.022122,0.0060634627
24,-4.82726,-7.9485717,0.08962884
25,-4.8789725,-8.022122,0.0060634627
26,-4.367834,-6.497112,0.037135344
27,-4.20663,-6.3958163,-0.030331764
28,-4.20663,-6.3958163,-0.030331764
29,-4.280009,-7.930862,-0.023933781
30,-4.0009103,-7.6100845,-0.12853038
31,-4.280009,-7.930862,-0.023933781
32,-3.737145,-6.9223404,-0.039132357
33,0.44614574,-6.46634,-0.07078882
34,-1.0784386,-5.984315,0.04459905
35,-0.29725403,-5.5086412,0.0431886
36,-4.20663,-6.3958163,-0.030331764
37,-0.09168371,-7.57372,-0.024920216
38,-0.11653253,-7.452804,0.025790283
39,-0.29725403,-5.5086412,0.0431886
40,0.17190258,-4.7870317,-0.07883032
41,0.014907521,-5.843821,0.0001924175
42,-4.0009103,-7.6100845,-0.12853038
43,-3.737145,-6.9223404,-0.039132357
44,-3.5686994,-6.8610864,-0.026468912
45,-3.6197903,-6.276954,0.0016554606
46,-3.635245,-5.9080234,0.028705195
47,-3.7860749,-5.9744267,0.011903624
48,-4.1042953,-5.033983,0.05747331
49,-3.2461255,-3.6595738,-0.013864723
50,-3.1229532,-3.4576232,-0.04237088
51,-0.09168371,-7.57372,-0.024920216
52,-2.973192,-3.4728642,0.019566806
53,-2.8327832,-3.1781957,0.01663061
54,-2.766774,-3.1164992,0.042217996
55,-3.083659,-4.370007,-0.00874909
56,-4.1042953,-5.033983,0.05747331
57,-2.766774,-3.1164992,0.042217996
58,-4.204867,-2.6862504,-0.0145217525
59,-3.9214962,-2.7044342,0.02121508
60,-3.7860749,-5.9744267,0.011903624
61,-3.5686994,-6.8610864,-0.026468912
62,-2.766774,-3.1164992,0.042217996
63,-4.204867,-2.6862504,-0.0145217525
64,-0.24855773,-7.635391,0.05848379
65,-3.9214962,-2.7044342,0.02121508
66,-2.684948,-1.3878945,-0.021645948
67,-2.9290426,-1.2945694,0.03057305
68,-2.9448457,-1.1478313,-0.028413996
69,-2.687419,-0.9880666,0.005761256
70,-0.24855773,-7.635391,0.05848379
71,-2.9448457,-1.1478313,-0.028413996
72,-1.5310333,-2.1879516,0.05854097
73,-1.7248849,-5.4646554,0.010067386
74,-4.204867,-2.6862504,-0.0145217525
75,-2.672884,-3.1928728,-0.021791225
76,-2.9515724,-2.7793722,0.021469314
77,-2.9515724,-2.7793722,0.021469314
78,-3.0053098,-2.765257,0.03426685
79,-3.0508277,-0.99135715,0.030987868
80,-2.6951168,-0.52072614,0.020804211
81,-2.3941743,-0.47899085,0.020960644
82,-3.0053098,-2.765257,0.03426685
83,-3.559267,-2.7128422,0.030353872
84,-3.5599427,-2.7259228,0.0029275573
85,-3.57747,-2.6561298,0.061843194
86,-3.57747,-2.6561298,0.061843194
87,-3.46241,-2.5209558,0.010167106
88,-3.5237787,-2.5758634,0.0034364224
89,-3.5080311,-2.6555176,0.01272587
90,-4.0583324,-2.6611707,0.029238615
91,-1.5310333,-2.1879516,0.05854097
92,-1.4219503,-2.6258771,0.024535175
93,-1.4219503,-2.6258771,0.024535175
94,-3.57747,-2.6561298,0.061843194
95,-1.4219503,-2.6258771,0.024535175
96,-1.3872396,-2.806979,0.043036744
97,-1.6631273,-3.8200748,0.035706956
98,-2.6951168,-0.52072614,0.020804211
99,-2.2662303,0.69302887,-0.0064757313
100,-1.1380713,2.628797,-0.032089617
101,-1.6631273,-3.8200748,0.035706956
102,-2.3940368,-4.2424774,0.02657907
103,-1.3872396,-2.806979,0.043036744
104,-4.105825,4.162029,-0.07442155
105,-4.2138405,3.0194633,0.038174834
106,-4.2267184,2.9853466,-0.004999041
107,-2.2662303,0.69302887,-0.0064757313
108,-1.4219503,-2.6258771,0.024535175
109,-4.689752,2.317913,-0.04084013
110,-6.642862,2.5581367,0.032900672
111,-2.6392112,5.5759416,0.030794624
112,-1.3872396,-2.806979,0.043036744
113,-1.1601886,-3.933479,0.038921613
114,-1.9061921,5.9045677,-0.03833333
115,-1.9061921,5.9045677,-0.03833333
116,-0.9220484,-3.6360447,0.013595794
117,-2.0335052,-5.1054554,0.029663805
118,-0.9220484,-3.6360447,0.013595794
119,-1.963176,-5.090694,0.00091581617
120,-1.7016182,-3.88603,-0.07667049
121,-1.9061921,5.9045677,-0.03833333
122,-1.0554593,6.6788096,0.0030038701
123,-7.149167,2.653509,0.049177106
124,-1.0554593,6.6788096,0.0030038701
125,-4.2138405,3.0194633,0.038174834
126,-4.0960183,5.605855,0.012746522
127,-1.0554593,6.6788096,0.0030038701
128,-7.149167,2.653509,0.049177106
129,1.0354924,5.994172,0.008376174
130,-0.9220484,-3.6360447,0.013595794
131,-6.982441,5.1205735,0.09826692
132,-7.568602,5.218567,0.020260572
133,-7.953702,5.0419526,-0.0077986354
134,-2.0335052,-5.1054554,0.029663805
135,-6.644329,6.731569,-0.051063716
136,0.9648307,7.748525,0.0059612626
137,-1.2026951,7.177556,-0.01634056
138,-1.963176,-5.090694,0.00091581617
139,-2.2380853,-5.5189357,0.06953349
140,-2.256168,-5.4229527,0.05197702
141,0.7014014,-6.142629,0.07918779
142,-3.9255528,5.743861,-0.038823664
143,-6.644329,6.731569,-0.051063716
144,-0.9525401,-3.4862595,0.013532981
145,-0.40444157,-3.5612905,0.04068291
146,0.9648307,7.748525,0.0059612626
147,-1.3106393,-3.0877998,-0.004573641
148,-2.2380853,-5.5189357,0.06953349
149,-0.10566825,-7.886519,-0.0051732673
150,-6.644329,6.731569,-0.051063716
151,-0.40444157,-3.5612905,0.04068291
152,-0.80396026,7.4067245,-0.07851702
153,-0.1473766,5.24475,-0.09774108
154,-0.80396026,7.4067245,-0.07851702
155,-7.7384515,6.014506,0.044775054
156,-2.46523,-5.5800767,0.051278055
157,-2.7674992,-5.562946,-0.018161545
158,-3.3016374,-5.2195106,0.00015333002
159,-0.2511844,-3.5618935,0.0639553
160,-2.7674992,-5.562946,-0.018161545
161,-3.6698494,-5.126064,0.024421858
162,-3.7431412,-5.137125,0.01840139
163,-3.7452114,-5.0728064,0.018819068
164,-2.46523,-5.5800767,0.051278055
165,-3.7431412,-5.137125,0.01840139
166,-5.7691274,7.7053757,-0.020606637
167,-3.3016374,-5.2195106,0.00015333002
168,-6.7798357,-2.1958683,0.008528492
169,-3.7431412,-5.137125,0.01840139
170,-6.7798357,-2.1958683,0.008528492
171,-6.782603,-2.3611732,0.019396955
172,1.3189944,6.3249035,0.01333522
173,-3.3016374,-5.2195106,0.00015333002
174,2.432616,6.6492105,0.045487028
175,-6.782603,-2.3611732,0.019396955
176,-5.2472076,-0.9707055,-0.019333078
177,-5.144683,-0.68438196,0.020847222
178,-3.9803703,-5.011199,-0.02501834
179,-6.6579905,0.6336923,-0.01654616
180,-3.9803703,-5.011199,-0.02501834
181,-4.0707583,-5.0095716,0.03566195
182,-6.782603,-2.3611732,0.019396955
183,-5.9510098,7.848279,-0.07112117
184,-4.0707583,-5.0095716,0.03566195
185,-4.379606,-5.0365157,-0.0015459071
186,-4.379606,-5.0365157,-0.0015459071
187,-4.379606,-5.0365157,-0.0015459071
188,-5.249761,-3.4833229,0.00062190596
189,-3.9803703,-5.011199,-0.02501834
190,-4.4607153,-4.887237,0.028261086
191,-5.249761,-3.4833229,0.00062190596
192,-5.522409,-3.5039945,0.02021194
193,-5.522409,-3.5039945,0.02021194
194,-5.66652,-4.1865153,0.054752618
195,-5.7149205,-4.1985645,0.05333211
196,-6.3077426,-4.302607,0.006086903
197,-6.3077426,-4.302607,0.006086903
198,-5.66652,-4.1865153,0.054752618
199,-6.3077426,-4.302607,0.006086903
200,-5.409763,-4.5112357,-0.049608823
