,x,y,z
0,-6.0,-6.0,0.0
1,-6.218921,-6.320702,-0.034625106
2,-7.0894837,-5.8218074,-0.031660788
3,-7.2777,-5.4839554,0.018774105
4,-7.2777,-5.4839554,0.018774105
5,-7.7228518,-4.891869,-0.07594519
6,-7.6575136,-4.48754,-0.06280806
7,-7.1163554,-4.1919355,-0.026417905
8,-7.1163554,-4.1919355,-0.026417905
9,-6.890886,-4.169479,0.039848384
10,-7.1163554,-4.1919355,-0.026417905
11,-6.693094,-3.7260227,0.02227231
12,-6.4792933,-3.2899606,-0.0068348707
13,-4.3420534,-1.1882266,0.0006778875
14,-5.336994,-0.13375764,-0.006675231
15,-7.1477585,-0.3399439,0.03790693
16,-4.796151,-3.4550228,-0.0058379485
17,-3.6817768,-4.3649173,-0.027700989
18,-4.796151,-3.4550228,-0.0058379485
19,-7.1477585,-0.3399439,0.03790693
20,-3.3495834,-3.245208,-0.020923514
21,-2.9418085,-3.6113033,0.021427125
22,-4.3420534,-1.1882266,0.0006778875
23,-3.9018002,-1.2205385,0.10594349
24,-2.5587757,-2.4989855,0.0588648
25,-2.7923148,-1.6653441,-0.03526115
26,-3.2803783,-1.8434572,-0.051493436
27,-1.589081,-1.6666304,0.012710829
28,-1.5491537,-1.6826884,0.038042363
29,-3.9018002,-1.2205385,0.10594349
30,-3.9018002,-1.2205385,0.10594349
31,-6.4792933,-3.2899606,-0.0068348707
32,-3.5345814,-1.1552547,0.05216932
33,-5.8502765,0.43404657,-0.023228964
34,-6.9905787,-1.487706,-0.013955657
35,-6.9905787,-1.487706,-0.013955657
36,-6.9572177,-1.6387179,0.106674016
37,-7.0858493,-1.8284997,-0.034112535
38,-7.0431137,-1.9644234,0.06975236
39,-7.7165713,-2.413496,0.037080523
40,-7.7165713,-2.413496,0.037080523
41,-7.808948,-2.4073799,-0.0003513818
42,-1.5110885,-1.7269186,-0.026664188
43,-1.5110885,-1.7269186,-0.026664188
44,-1.5110885,-1.7269186,-0.026664188
45,-3.1260414,-1.8212065,0.009819555
46,-6.7704096,-3.0987775,0.004812043
47,-4.611554,-4.276669,-0.044393387
48,-4.593605,-4.31019,-0.03642337
49,-4.593605,-4.31019,-0.03642337
50,-4.645593,-4.2623277,-0.00882818
51,-4.593605,-4.31019,-0.03642337
52,-3.3285065,-4.250987,-0.0050226483
53,-3.1257706,-4.26729,-0.037332166
54,-2.859385,-4.469539,0.0561768
55,-4.645593,-4.2623277,-0.00882818
56,-3.189163,-4.885222,-0.023031762
57,-1.5635868,-1.8297151,-0.027820414
58,-3.2142334,-0.1546987,0.0052389796
59,-7.808948,-2.4073799,-0.0003513818
60,-7.8829927,-3.7230299,-0.009503565
61,-4.645593,-4.2623277,-0.00882818
62,-2.859385,-4.469539,0.0561768
63,-3.2142334,-0.1546987,0.0052389796
64,-3.2142334,-0.1546987,0.0052389796
65,-2.840574,-0.335708,-0.052066546
66,-4.872787,-4.211437,-0.018289361
67,-2.9912927,-4.7578845,0.01058442
68,-7.9726195,-3.2502916,0.019683175
69,-4.872787,-4.211437,-0.018289361
70,-8.027941,-3.1634238,-0.0012456011
71,-7.8829927,-3.7230299,-0.009503565
72,-3.2142334,-0.1546987,0.0052389796
73,-4.8186836,-4.282423,0.10176976
74,-8.027941,-3.1634238,-0.0012456011
75,-5.2894244,-5.9400125,0.025606344
76,-5.1230526,-5.7469816,0.03358521
77,-2.9912927,-4.7578845,0.01058442
78,-7.971808,-3.111081,-0.066017985
79,-7.056134,-3.3586805,-0.025967678
80,-2.6991413,-6.0227613,0.019897798
81,-0.7245352,-6.9640427,-0.057866484
82,-2.6991413,-6.0227613,0.019897798
83,-3.2538412,-6.3336787,-0.0009815046
84,-3.7288086,-6.001466,0.064592294
85,-2.8374228,-5.415275,-0.056344863
86,-7.971808,-3.111081,-0.066017985
87,-7.056134,-3.3586805,-0.025967678
88,-3.2538412,-6.3336787,-0.0009815046
89,-5.1230526,-5.7469816,0.03358521
90,-2.8374228,-5.415275,-0.056344863
91,-3.1496847,-6.5960174,-0.044738654
92,-3.4227695,-7.0496073,-0.03047565
93,0.89744836,-5.673373,-0.02163696
94,-5.4733596,-5.0193734,0.039245542
95,-7.056134,-3.3586805,-0.025967678
96,-6.749517,-3.4749722,0.041745514
97,-3.7288086,-6.001466,0.064592294
98,-7.056134,-3.3586805,-0.025967678
99,-3.515627,-7.118885,0.041900516
100,-5.456574,-4.9869046,-0.0021057816
101,-5.0406528,-5.7581377,-0.03285875
102,-5.456574,-4.9869046,-0.0021057816
103,-3.1496847,-6.5960174,-0.044738654
104,-4.109819,-7.637384,-0.010002498
105,-3.1496847,-6.5960174,-0.044738654
106,-6.749517,-3.4749722,0.041745514
107,-3.5733345,-5.8973784,0.008366764
108,-3.632785,-5.8474545,-0.023160769
109,-5.5261016,-4.8544707,0.034396883
110,-5.465116,-4.869205,0.0519343
111,-4.993368,-5.800665,0.03303333
112,-5.1090703,-5.923266,0.06342971
113,-5.9073367,-3.4432778,-0.013895132
114,-5.98061,-3.5921128,-0.037473496
115,-5.41113,-4.838363,0.032408535
116,-5.1644163,-5.0118937,-0.06274171
117,-4.0640492,-7.650702,0.022277167
118,-4.993368,-5.800665,0.03303333
119,-3.632785,-5.8474545,-0.023160769
120,-5.1644163,-5.0118937,-0.06274171
121,-5.41113,-4.838363,0.032408535
122,-5.5415945,-4.6141796,0.040502265
123,-4.935418,-5.451574,0.0095234485
124,-3.2788675,-5.451221,-0.0045366925
125,-4.935418,-5.451574,0.0095234485
126,-5.1644163,-5.0118937,-0.06274171
127,-4.935418,-5.451574,0.0095234485
128,-3.632785,-5.8474545,-0.023160769
129,-0.24323197,-3.9839993,-0.016546376
130,-0.24323197,-3.9839993,-0.016546376
131,-5.1644163,-5.0118937,-0.06274171
132,-5.5415945,-4.6141796,0.040502265
133,-4.903131,-5.4991493,0.01029515
134,-5.9871726,-3.7148678,0.026313502
135,-0.34165823,-3.9440734,0.02435605
136,-5.085211,-4.9033194,-0.01407806
137,-0.5565654,-3.4757843,0.020314334
138,-5.23043,-5.3999286,-0.042456437
139,-5.2745385,-4.231109,0.055328578
140,-5.085211,-4.9033194,-0.01407806
141,-5.2745385,-4.231109,0.055328578
142,-4.903131,-5.4991493,0.01029515
143,-5.4328823,-4.255304,-0.0031493008
144,-5.085211,-4.9033194,-0.01407806
145,-0.5565654,-3.4757843,0.020314334
146,-0.52460593,-3.387954,-0.02845417
147,-5.2745385,-4.231109,0.055328578
148,-0.52460593,-3.387954,-0.02845417
149,-4.4933987,-4.7695203,0.049173996
150,-5.085211,-4.9033194,-0.01407806
151,-5.108642,-4.0521674,-0.05106748
152,-4.8509164,-5.1814685,0.017356217
153,-4.461283,-5.75829,-0.031195631
154,-1.1042206,-3.5554662,0.091792755
155,-4.8509164,-5.1814685,0.017356217
156,-0.87362987,-3.0664666,-0.065022536
157,-1.1042206,-3.5554662,0.091792755
158,-5.4328823,-4.255304,-0.0031493008
159,-5.108642,-4.0521674,-0.05106748
160,-1.636347,-3.5369225,0.008925525
161,-1.636347,-3.5369225,0.008925525
162,-1.7870371,-3.7100303,-0.0142670125
163,-4.8509164,-5.1814685,0.017356217
164,-4.7354965,-5.475288,0.024012605
165,-4.623008,-5.6018953,0.03687686
166,-1.636347,-3.5369225,0.008925525
167,-1.7119696,-4.1328926,0.044560038
168,-4.8509164,-5.1814685,0.017356217
169,-1.7870371,-3.7100303,-0.0142670125
170,-4.8084307,-6.4547896,0.019015288
171,-4.8084307,-6.4547896,0.019015288
172,-0.87362987,-3.0664666,-0.065022536
173,-4.7721534,-6.3396015,-0.0017899614
174,-1.7857682,-3.7421799,-0.106826484
175,-1.7857682,-3.7421799,-0.106826484
176,-1.9427016,-3.631291,0.013774487
177,-4.1298814,-5.5006957,0.042335685
178,-4.444557,-5.2701974,0.03582476
179,-4.776327,-5.741121,-0.071066
180,-4.7721534,-6.3396015,-0.0017899614
181,-4.776327,-5.741121,-0.071066
182,-4.7843485,-5.600809,0.046143923
183,-4.8027077,-6.0539536,0.053259708
184,-4.1298814,-5.5006957,0.042335685
185,-1.7119696,-4.1328926,0.044560038
186,-4.7843485,-5.600809,0.046143923
187,-4.823881,-5.363088,-0.014932803
188,-4.363509,-5.418573,-0.04984915
189,-4.8027077,-6.0539536,0.053259708
190,-4.4941893,-5.426943,-0.009347884
191,-4.444557,-5.2701974,0.03582476
192,-4.1227603,-6.314996,-0.01674993
193,-3.9363046,-6.521946,-0.007479901
194,-4.4899626,-5.3544416,-0.03659378
195,-1.7498301,-3.72315,-0.078762755
196,1.6901788,-6.1998844,-0.040146504
197,-3.9363046,-6.521946,-0.007479901
198,2.3036933,-5.845741,-0.017865462
199,-4.665358,-5.1398935,-0.000553146
200,-4.9242954,-5.1639147,0.0009038971
